id,title,ingredients,rating,url
11,Peachy Bread Pudding with Caramel Sauce,"2 cups fresh peaches - peeled, pitted and halved, 1 (14 ounce) can sweetened condensed milk, 3 large eggs, lightly beaten, 1 ¼ cups hot water, ¼ cup butter, melted, 1 teaspoon ground cinnamon, 1 teaspoon vanilla extract, 4 cups French bread, torn into small pieces, ½ cup brown sugar, ½ cup butter, 2 tablespoons light corn syrup, 1 tablespoon rum",4.7/5,https://www.allrecipes.com/recipe/174599/peachy-bread-pudding-with-caramel-sauce/
12,Charred Broccoli Beef,"1 pound skirt steak, cut in half across the grain,   kosher salt and freshly ground black pepper to taste, 1 tablespoon cornstarch, 2 tablespoons vegetable oil, ¼ cup oyster sauce, 3 tablespoons dry sherry, 1 tablespoon soy sauce, or more to taste, 2 teaspoons ketchup, ½ cup chicken broth, 1 ½ teaspoons cornstarch, or more to taste, 1 pound bite-size broccoli florets, 1 tablespoon vegetable oil, 2 teaspoons vegetable oil, 3 cloves minced garlic, 1 pinch cayenne pepper",4.8/5,https://www.allrecipes.com/recipe/256889/charred-broccoli-beef/
13,Challah Bread,"2 ½ cups warm water (110 degrees F/45 degrees C), 1 tablespoon active dry yeast, ½ cup honey, 4 tablespoons vegetable oil, 3 large eggs, divided, 1 tablespoon salt, 8 cups unbleached all-purpose flour, 1 tablespoon poppy seeds (Optional)",4.7/5,https://www.allrecipes.com/recipe/6760/challah-i/
14,Chicken Noodle Salad,"3 cloves garlic, crushed, ½ cup seasoned rice vinegar, 1 tablespoon soy sauce, 1 tablespoon fish sauce, 1 tablespoon brown sugar, 1 tablespoon Sriracha chile sauce, 1 tablespoon hoisin sauce, 1 teaspoon sesame oil, 1  cooked chicken breast, 1 (8 ounce) package spaghetti, 1 cup grated carrots, 1  red bell pepper, thinly sliced, 4  green onions, thinly sliced, ½ cup chopped roasted, salted peanuts, ⅓ cup chopped fresh basil, ⅓ cup chopped fresh mint, ⅓ cup chopped cilantro",4.7/5,https://www.allrecipes.com/recipe/274367/chicken-noodle-salad/
15,Cobb Salad,"6 slices bacon, 3 large eggs, 1 head iceberg lettuce, shredded, 3 cups chopped, cooked chicken meat, 2 ripe tomatoes, seeded and chopped, ¾ cup blue cheese, crumbled, 3  green onions, chopped, 1  avocado - peeled, pitted and diced, 1 (8 ounce) bottle Ranch-style salad dressing",4.8/5,https://www.allrecipes.com/recipe/14415/cobb-salad/
16,Weeknight Skillet Slaw,"1 tablespoon chipotle hot sauce (such as Cholula®), 1 tablespoon rice vinegar, 1 tablespoon soy sauce, 1 ½ teaspoons minced ginger, 1 teaspoon agave syrup, 1 tablespoon olive oil, 1 tablespoon sesame oil, 1 pound ground turkey, ½ teaspoon salt, ½ tablespoon ground black pepper, 1 (8 ounce) package coleslaw mix, ½  red bell pepper, diced, 2  green onions, chopped, or more to taste, 2 cloves garlic, minced, 1 tablespoon sesame seeds",4.5/5,https://www.allrecipes.com/recipe/253157/weeknight-skillet-slaw/
17,Shrimp Pasta Salad,"1 ¼ cups mayonnaise, or more if needed, 2 teaspoons Dijon mustard, 2 teaspoons ketchup, ¼ teaspoon Worcestershire sauce, 1 teaspoon salt, or to taste, 1 pinch cayenne pepper, or to taste, 1  lemon, juiced, ⅓ cup chopped fresh dill, 1 (12 ounce) package small pasta shells, 1 pound cooked, peeled, and deveined small shrimp - cut in half, ½ cup finely diced red bell pepper, ¾ cup diced celery,   salt and ground black pepper to taste, 1 pinch paprika, for garnish, 3 sprigs fresh dill, or as desired",4.8/5,https://www.allrecipes.com/recipe/233397/shrimp-and-pasta-shell-salad/
18,Club Chicken Pasta Salad,"8 ounces corkscrew-shaped pasta, ¾ cup Italian-style salad dressing or to taste, ¼ cup mayonnaise, 2 cups chopped, cooked rotisserie chicken, 12 slices crispy cooked bacon, crumbled, 8 ounces cherry tomatoes, halved, 1 cup cubed Muenster cheese, 1 cup chopped celery, 1 cup chopped green bell pepper, 1  avocado - peeled, pitted, and chopped",4.7/5,https://www.allrecipes.com/recipe/236198/chicken-club-pasta-salad/
19,Taco Salad with Lime Vinegar Dressing,"1 pound lean ground beef, ¾ cup water, 1 (1 ounce) packet taco seasoning mix, 1 head romaine lettuce, chopped, 1 (15 ounce) can kidney beans, rinsed and drained, 1 (10 ounce) basket grape tomatoes, chopped, 1  avocado, pitted and sliced, ½ cup chopped carrots, or to taste, ½ cup chopped green bell pepper, or to taste, ½ cup chopped celery, or to taste, ¼ cup shredded Cheddar cheese, or to taste (Optional), ¼ cup lime juice, 3 tablespoons honey, 2 tablespoons champagne vinegar, 2 tablespoons chopped fresh cilantro, or to taste (Optional), 2 tablespoons Dijon mustard, 3 cloves garlic, minced,   salt and ground black pepper to taste",4.7/5,https://www.allrecipes.com/recipe/241982/taco-salad-with-lime-vinegar-dressing/
20,Meet Lemon Pesto: The 5-Ingredient No-Cook Sauce Ready Before Your Pasta's Done Boiling,"4 large lemons, scrubbed, 1 cup grated Parmesan cheese, 1/3 cup slivered almonds, 4 tablespoons tap water, 1 garlic clove, 3/4 teaspoon kosher salt, 1/2 teaspoon white sugar, 1/4 teaspoon black pepper, 6 tablespoons extra-virgin olive oil",5.0/5,https://www.allrecipes.com/lemon-pesto-sauce-recipe-11755856
